year,agri_share,industry_share,services_share,rgdp_producer_growth,rgdp_basic_growth,gdp_pci,gnp_pci,gndi_pci
1975,71.6,8.2,20.2,,,122.6018004,122.7989854,123.0604217
1976,69.3,8.9,21.9,3.468277946,2.626453032,108.4303955,108.6030713,108.8368381
1977,63.9,11.2,24.9,1.010277972,-0.330618992,102.2020858,102.3907575,102.6107759
1978,63.1,11.9,25,3.127710008,2.444867621,115.1892889,115.3592088,115.5840168
1979,64.3,12,23.7,2.130283664,2.284583558,152.7432164,152.9712088,153.3096898
1980,61.8,11.9,26.3,-1.504007026,-1.324891546,132.9740009,133.2553129,133.735935
1981,60.9,12.4,26.7,10.0312082,9.470057034,151.4749198,151.8005352,152.3280653
1982,61,12.9,26.1,4.411466775,4.922392272,155.4093398,155.7177713,156.3336312
1983,60.3,12.8,26.9,0.407470289,0.506905291,155.6536491,155.9744279,156.6063207
1984,61,12.6,26.4,8.797526451,9.016519994,158.5386363,158.7908294,159.3952857
1985,51.2,15,33.8,5.381882771,5.617712316,159.1356363,159.361426,159.3966095
1986,51,15.7,33.3,4.565749367,4.702942179,167.6527502,167.8660236,167.9192668
1987,50.1,15.6,34.3,1.699751606,1.620917869,173.0154085,173.3413159,173.3862873
1988,50.2,16,33.8,7.696655296,6.975999317,199.3172002,199.7253928,199.7658233
1989,49.6,16.3,34.1,4.327698017,5.183736202,196.3907894,196.7298039,196.7553235
1990,50.6,15.9,33.5,4.635035841,4.469029907,199.3645048,199.7373398,199.7704978
1991,47.7,17.5,34.8,6.366430301,6.426767906,203.7173826,204.0807466,204.1176415
1992,45,20.4,34.6,4.108085422,4.56911707,185.1769836,185.5133042,185.5730119
1993,42.4,20.8,36.8,3.846750186,3.132243006,194.1959226,194.5618364,194.6276352
1994,42.1,21.2,36.7,8.21923944,7.718604099,204.5347695,204.9312717,204.982079
1995,40.8,22.2,37,3.468447339,2.650524522,216.9352728,217.4120504,217.4931134
1996,40.5,22.3,37.2,5.337613447,5.562567226,217.9077919,218.219973,218.2987623
1997,40.4,22.3,37.4,5.26096683,5.095916677,232.4709597,232.8571502,232.9407696
1998,38.8,21.9,39.3,2.94208113,3.209868694,224.3837288,224.8331004,224.9194693
1999,40.1,21.2,38.7,4.483720114,4.480870838,227.406935,228.1303719,228.2104879
2000,39.6,21.5,38.9,6.115509857,6.003550275,242.7287526,243.568256,243.6526221
2001,36.6,17.3,46.1,5.628431152,4.775431605,258.7798562,259.7768348,298.2229315
2002,37.4,17.5,45.1,0.120153875,0.160487628,254.5523171,254.2171747,291.995412
2003,36.5,17.6,45.9,3.945111805,3.769048245,261.2944333,260.9357466,301.0314766
2004,35.9,17.3,46.8,4.682600759,4.411224934,293.2072632,292.2874075,338.659085
2005,35.2,17.1,47.7,3.479103943,3.234258451,327.8312793,328.741502,383.0847732
2006,33.6,16.7,49.7,3.36454969,3.728622874,349.5486384,352.1969036,419.6103383
2007,32.5,16.6,50.9,3.411664218,2.750835244,410.0723527,414.2595783,486.9362657
2008,31.7,16.8,51.5,6.104588916,5.795465617,491.3467171,496.1338131,606.2611764
2009,33,15.9,51.2,4.533133312,3.904647363,496.5227987,502.425928,627.7719294
2010,35.4,15.1,49.5,4.816403874,4.258120057,609.5348258,614.1940277,758.6335259
2011,33.45209695,14.52954151,51.55424123,3.421816684,3.848759629,814.2084432,818.1511873,978.9332451
2012,32.67692045,15.18585382,51.66080825,4.438453854,4.698728496,808.2407573,813.8905117,1008.218133
2013,31.39268113,15.13370346,52.98530398,3.525153174,3.074014878,814.3085749,819.7721977,1027.68424
2014,30.31432802,14.97349962,54.22031547,6.011482841,5.742407489,824.1441832,836.2345829,1069.355033
2015,29.39313986,14.58839046,55.48549121,3.976053274,3.512147913,871.4402257,883.7524134,1139.023427
2016,28.42541524,14.09739251,56.93002967,0.433113718,0.002524652,881.6406275,893.1350569,1156.18436
2017,26.80583044,14.54847534,58.10216844,8.977279354,8.58937345,1031.503599,1041.893596,1327.429729
2018,25.63498246,15.15124846,58.68071666,7.622376108,7.373224999,1167.576279,1175.216575,1467.341604
2019,24.91823944,15.02096678,59.52428044,6.656996505,6.385886873,1193.889974,1206.23919,1514.009441
2020,25.15711904,13.66432052,60.55545482,-2.369566691,-2.423296411,1156.394646,1170.103914,1462.189788
2021,24.89874663,13.69031217,60.78477655,4.246940141,3.830772488,1239.389909,1246.137117,1556.571802
2022,23.94891881,14.28810045,61.15663147,5.837515534,5.490014429,1371.97085,1380.729531,1683.08474
